"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"11","nars","nars_4404","2017-08-10","ar","West South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Ouachita Highlands","Upper West Gulf Coastal Plain","temperate upland rivers","Temperate Conifer Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",15.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"12","nars","nars_4403","2017-06-29","ar","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Ouachita Highlands","Ouachita Mountains","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"13","nars","nars_4402","2017-09-19","ar","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Ozark Highlands","Ozarks","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Arkansas-White-Red Region","Delta","South Central US","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",23.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"14","nars","nars_4397","2017-07-20","ar","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Ouachita Highlands","Ouachita Mountains","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Lower Mississippi Region","Delta","South Central US","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",4.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,1011.2,"idexxquantitray","mpn","mpn"
"15","nars","nars_4393","2017-06-07","ar","West South Central","EASTERN TEMPERATE FORESTS","OZARK/OUACHITA-APPALACHIAN FORESTS","Ouachita Highlands","Ouachita Mountains","temperate upland rivers","Temperate Broadleaf and Mixed Forests","Lower Mississippi Region","Delta","South Central US","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",3.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"16","nars","nars_4399","2017-08-03","ar","West South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Ouachita Highlands","Upper West Gulf Coastal Plain","temperate upland rivers","Temperate Conifer Forests","Lower Mississippi Region","Delta","South Central US","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"17","nars","nars_4400","2017-09-06","ar","West South Central","EASTERN TEMPERATE FORESTS","SOUTHEASTERN USA PLAINS","Ouachita Highlands","Upper West Gulf Coastal Plain","temperate upland rivers","Temperate Conifer Forests","Lower Mississippi Region","Delta","South Central US","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",9.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"18","nars","nars_4457","2017-09-12","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",5.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,1299.7,"idexxquantitray","mpn","mpn"
"19","nars","nars_4440","2017-07-05","ca","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Sacramento - San Joaquin","Sierra Nevada","temperate coastal rivers","Temperate Conifer Forests","California Region","Pacific","Pacific","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,307.6,"idexxquantitray","mpn","mpn"
"20","nars","nars_4438","2017-06-21","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",5.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,547.5,"idexxquantitray","mpn","mpn"
"21","nars","nars_4430","2017-08-07","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Oregon & Northern California Coastal","California Central Coast","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,435.2,"idexxquantitray","mpn","mpn"
"22","nars","nars_4429","2017-06-06","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Oregon & Northern California Coastal","California Central Coast","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,940.4,"idexxquantitray","mpn","mpn"
"23","nars","nars_4455","2017-06-05","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Oregon & Northern California Coastal","California Central Coast","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",65.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,1732.9,"idexxquantitray","mpn","mpn"
"24","nars","nars_4459","2017-06-07","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",3.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,1203.3,"idexxquantitray","mpn","mpn"
"25","nars","nars_4454","2017-08-17","ca","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Sacramento - San Joaquin","East Cascades - Modoc Plateau","temperate coastal rivers","Temperate Conifer Forests","California Region","Pacific","Pacific","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",42.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,1732.9,"idexxquantitray","mpn","mpn"
"26","nars","nars_4445","2017-07-05","ca","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Sacramento - San Joaquin","Sierra Nevada","temperate coastal rivers","Temperate Conifer Forests","California Region","Pacific","Pacific","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,325.5,"idexxquantitray","mpn","mpn"
"27","nars","nars_4462","2017-08-03","ca","Pacific","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Sacramento - San Joaquin","Sierra Nevada","temperate coastal rivers","Temperate Conifer Forests","California Region","Pacific","Pacific","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,461.1,"idexxquantitray","mpn","mpn"
"28","nars","nars_4432","2017-06-12","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","Great Central Valley","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",12.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,1553.1,"idexxquantitray","mpn","mpn"
"29","nars","nars_4447","2017-07-11","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Sacramento - San Joaquin","California Central Coast","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",435.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"30","nars","nars_4453","2017-07-06","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California Central Coast","temperate coastal rivers","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",4.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,344.8,"idexxquantitray","mpn","mpn"
"31","nars","nars_4482","2017-07-30","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,275.5,"idexxquantitray","mpn","mpn"
"32","nars","nars_4463","2017-07-26","co","Mountain","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Middle Missouri","Southern Rocky Mountains","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Missouri Region","Mountains","Western Great Plains","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",3.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,172.3,"idexxquantitray","mpn","mpn"
"33","nars","nars_4489","2017-09-06","co","Mountain","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Middle Missouri","Southern Rocky Mountains","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Missouri Region","Mountains","Western Great Plains","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",5.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,90.8,"idexxquantitray","mpn","mpn"
"34","nars","nars_4479","2017-07-17","co","Mountain","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Colorado","Southern Rocky Mountains","xeric freshwaters and endorheic (closed) basins","Temperate Conifer Forests","Upper Colorado Region","Mountains","Western Great Plains","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"35","nars","nars_4476","2017-07-31","co","Mountain","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Middle Missouri","Southern Rocky Mountains","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Missouri Region","Mountains","Western Great Plains","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,110.6,"idexxquantitray","mpn","mpn"
"36","nars","nars_4472","2017-07-18","co","Mountain","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Colorado","Southern Rocky Mountains","xeric freshwaters and endorheic (closed) basins","Temperate Conifer Forests","Upper Colorado Region","Mountains","Western Great Plains","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",8.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,517.2,"idexxquantitray","mpn","mpn"
"37","nars","nars_4468","2017-07-28","co","Mountain","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Middle Missouri","Southern Rocky Mountains","temperate floodplain rivers and wetlands","Temperate Conifer Forests","Missouri Region","Mountains","Western Great Plains","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",6.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"38","nars","nars_4485","2017-07-24","co","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Colorado","Colorado Plateau","xeric freshwaters and endorheic (closed) basins","Deserts and Xeric Shrublands","Upper Colorado Region","Mountains","Western Great Plains","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,410.6,"idexxquantitray","mpn","mpn"
"39","nars","nars_4474","2017-07-23","co","Mountain","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Colorado","Southern Rocky Mountains","xeric freshwaters and endorheic (closed) basins","Temperate Conifer Forests","Upper Colorado Region","Mountains","Western Great Plains","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",3.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,26.6,"idexxquantitray","mpn","mpn"
"40","nars","nars_4480","2017-07-20","co","Mountain","NORTHWESTERN FORESTED MOUNTAINS","WESTERN CORDILLERA","Colorado","Southern Rocky Mountains","xeric freshwaters and endorheic (closed) basins","Temperate Conifer Forests","Upper Colorado Region","Mountains","Western Great Plains","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,33.1,"idexxquantitray","mpn","mpn"
"41","nars","nars_4465","2017-08-01","co","Mountain","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","Middle Missouri","Central Shortgrass Prairie","temperate floodplain rivers and wetlands","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Mountains","Western Great Plains","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",7.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"42","nars","nars_4499","2017-09-06","ct","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","North Atlantic Coast","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,1413.6,"idexxquantitray","mpn","mpn"
"43","nars","nars_4494","2017-08-14","ct","New England","NORTHERN FORESTS","ATLANTIC HIGHLANDS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,145.5,"idexxquantitray","mpn","mpn"
"44","nars","nars_4497","2017-07-25","ct","New England","NORTHERN FORESTS","ATLANTIC HIGHLANDS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",313,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,1732.9,"idexxquantitray","mpn","mpn"
"45","nars","nars_4502","2017-06-21","ct","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",5.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,488.4,"idexxquantitray","mpn","mpn"
"46","nars","nars_4501","2017-07-12","ct","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","lakereservoir","lakereservoir","surfacewater","pond/lake","grabsample","membrane",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"47","nars","nars_4500","2017-07-06","ct","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,686.7,"idexxquantitray","mpn","mpn"
"48","nars","nars_4490","2017-06-22","ct","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",13.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"49","nars","nars_4496","2017-08-31","ct","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",3.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,1299.7,"idexxquantitray","mpn","mpn"
"50","nars","nars_4495","2017-06-13","ct","New England","EASTERN TEMPERATE FORESTS","MIXED WOOD PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Lower New England / Northern Piedmont","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","New England Region","Northeastern Region","New England","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,1986.3,"idexxquantitray","mpn","mpn"
"51","nars","nars_4510","2017-07-10","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"52","nars","nars_4503","2017-06-19","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"53","nars","nars_4507","2017-06-27","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",19.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"54","nars","nars_4508","2017-09-11","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",70.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"55","nars","nars_4506","2017-07-05","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",3.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"56","nars","nars_4505","2017-07-18","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",13.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"57","nars","nars_4509","2017-06-14","de","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Northeast US & Southeast Canada Atlantic Drainages","Chesapeake Bay Lowlands","temperate coastal rivers","Temperate Broadleaf and Mixed Forests","Mid Atlantic Region","Northeastern Region","Mid-Atlantic","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",6.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
"58","nars","nars_4528","2017-08-02","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",158.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,2419.6,"idexxquantitray","mpn","mpn"
